card_id,version_added,current_status,card_name,component,card_type,slot,tenet,brand,cost,tips,appeal,ls,sp,quantity,rules_text,notes,ip_marker,source_doc
HH-021,pre-v7.9,active,Basic Beat,Starter,Action,none,Neutral,,0,1,0,0,0,1,No additional effect.,Starter deck card; 7 per player.,,data/v7_9_card_database.csv
HH-022,pre-v7.9,active,Basic Beat,Starter,Action,none,Neutral,,0,1,0,0,0,1,No additional effect.,Starter deck card; 7 per player.,,data/v7_9_card_database.csv
HH-023,pre-v7.9,active,Basic Beat,Starter,Action,none,Neutral,,0,1,0,0,0,1,No additional effect.,Starter deck card; 7 per player.,,data/v7_9_card_database.csv
HH-024,pre-v7.9,active,Basic Beat,Starter,Action,none,Neutral,,0,1,0,0,0,1,No additional effect.,Starter deck card; 7 per player.,,data/v7_9_card_database.csv
HH-025,pre-v7.9,active,Basic Beat,Starter,Action,none,Neutral,,0,1,0,0,0,1,No additional effect.,Starter deck card; 7 per player.,,data/v7_9_card_database.csv
HH-026,pre-v7.9,active,Basic Beat,Starter,Action,none,Neutral,,0,1,0,0,0,1,No additional effect.,Starter deck card; 7 per player.,,data/v7_9_card_database.csv
HH-027,pre-v7.9,active,Basic Beat,Starter,Action,none,Neutral,,0,1,0,0,0,1,No additional effect.,Starter deck card; 7 per player.,,data/v7_9_card_database.csv
HH-028,pre-v7.9,active,Basic Beat,Starter,Action,none,Neutral,,0,1,0,0,0,1,No additional effect.,Starter deck card; 7 per player.,,data/v7_9_card_database.csv
HH-029,pre-v7.9,active,Basic Beat,Starter,Action,none,Neutral,,0,1,0,0,0,1,No additional effect.,Starter deck card; 7 per player.,,data/v7_9_card_database.csv
HH-030,pre-v7.9,active,Basic Beat,Starter,Action,none,Neutral,,0,1,0,0,0,1,No additional effect.,Starter deck card; 7 per player.,,data/v7_9_card_database.csv
HH-031,pre-v7.9,active,Basic Beat,Starter,Action,none,Neutral,,0,1,0,0,0,1,No additional effect.,Starter deck card; 7 per player.,,data/v7_9_card_database.csv
HH-032,pre-v7.9,active,Basic Beat,Starter,Action,none,Neutral,,0,1,0,0,0,1,No additional effect.,Starter deck card; 7 per player.,,data/v7_9_card_database.csv
HH-033,pre-v7.9,active,Basic Beat,Starter,Action,none,Neutral,,0,1,0,0,0,1,No additional effect.,Starter deck card; 7 per player.,,data/v7_9_card_database.csv
HH-034,pre-v7.9,active,Basic Beat,Starter,Action,none,Neutral,,0,1,0,0,0,1,No additional effect.,Starter deck card; 7 per player.,,data/v7_9_card_database.csv
HH-035,pre-v7.9,active,Basic Beat,Starter,Action,none,Neutral,,0,1,0,0,0,1,No additional effect.,Starter deck card; 7 per player.,,data/v7_9_card_database.csv
HH-036,pre-v7.9,active,Messy Lip Sync,Starter,Action,none,Neutral,,0,0,0,1,0,1,Play: Gain 1 Appeal.,Starter deck card; 3 per player.,,data/v7_9_card_database.csv
HH-037,pre-v7.9,active,Messy Lip Sync,Starter,Action,none,Neutral,,0,0,0,1,0,1,Play: Gain 1 Appeal.,Starter deck card; 3 per player.,,data/v7_9_card_database.csv
HH-038,pre-v7.9,active,Messy Lip Sync,Starter,Action,none,Neutral,,0,0,0,1,0,1,Play: Gain 1 Appeal.,Starter deck card; 3 per player.,,data/v7_9_card_database.csv
HH-039,pre-v7.9,active,Messy Lip Sync,Starter,Action,none,Neutral,,0,0,0,1,0,1,Play: Gain 1 Appeal.,Starter deck card; 3 per player.,,data/v7_9_card_database.csv
HH-040,pre-v7.9,active,Messy Lip Sync,Starter,Action,none,Neutral,,0,0,0,1,0,1,Play: Gain 1 Appeal.,Starter deck card; 3 per player.,,data/v7_9_card_database.csv
HH-041,pre-v7.9,active,Messy Lip Sync,Starter,Action,none,Neutral,,0,0,0,1,0,1,Play: Gain 1 Appeal.,Starter deck card; 3 per player.,,data/v7_9_card_database.csv
HH-042,pre-v7.9,active,Messy Lip Sync,Starter,Action,none,Neutral,,0,0,0,1,0,1,Play: Gain 1 Appeal.,Starter deck card; 3 per player.,,data/v7_9_card_database.csv
HH-043,pre-v7.9,active,Messy Lip Sync,Starter,Action,none,Neutral,,0,0,0,1,0,1,Play: Gain 1 Appeal.,Starter deck card; 3 per player.,,data/v7_9_card_database.csv
HH-044,pre-v7.9,active,Messy Lip Sync,Starter,Action,none,Neutral,,0,0,0,1,0,1,Play: Gain 1 Appeal.,Starter deck card; 3 per player.,,data/v7_9_card_database.csv
HH-045,pre-v7.9,active,Messy Lip Sync,Starter,Action,none,Neutral,,0,0,0,1,0,1,Play: Gain 1 Appeal.,Starter deck card; 3 per player.,,data/v7_9_card_database.csv
HH-046,pre-v7.9,active,Messy Lip Sync,Starter,Action,none,Neutral,,0,0,0,1,0,1,Play: Gain 1 Appeal.,Starter deck card; 3 per player.,,data/v7_9_card_database.csv
HH-047,pre-v7.9,active,Messy Lip Sync,Starter,Action,none,Neutral,,0,0,0,1,0,1,Play: Gain 1 Appeal.,Starter deck card; 3 per player.,,data/v7_9_card_database.csv
HH-048,pre-v7.9,active,Messy Lip Sync,Starter,Action,none,Neutral,,0,0,0,1,0,1,Play: Gain 1 Appeal.,Starter deck card; 3 per player.,,data/v7_9_card_database.csv
HH-049,pre-v7.9,active,Messy Lip Sync,Starter,Action,none,Neutral,,0,0,0,1,0,1,Play: Gain 1 Appeal.,Starter deck card; 3 per player.,,data/v7_9_card_database.csv
HH-050,pre-v7.9,active,Messy Lip Sync,Starter,Action,none,Neutral,,0,0,0,1,0,1,Play: Gain 1 Appeal.,Starter deck card; 3 per player.,,data/v7_9_card_database.csv
HH-051,pre-v7.9,active,Chapstick,Starter,Fashion,Face,Neutral,,0,1,0,1,0,1,Equip: You may archive 1 card from hand to draw 1 card.,"Starter deck card; 2 per player. When played, its printed Tip is generated once before any Equip effect resolves.",,data/v7_9_card_database.csv
HH-052,pre-v7.9,active,Chapstick,Starter,Fashion,Face,Neutral,,0,1,0,1,0,1,Equip: You may archive 1 card from hand to draw 1 card.,"Starter deck card; 2 per player. When played, its printed Tip is generated once before any Equip effect resolves.",,data/v7_9_card_database.csv
HH-053,pre-v7.9,active,Chapstick,Starter,Fashion,Face,Neutral,,0,1,0,1,0,1,Equip: You may archive 1 card from hand to draw 1 card.,"Starter deck card; 2 per player. When played, its printed Tip is generated once before any Equip effect resolves.",,data/v7_9_card_database.csv
HH-054,pre-v7.9,active,Chapstick,Starter,Fashion,Face,Neutral,,0,1,0,1,0,1,Equip: You may archive 1 card from hand to draw 1 card.,"Starter deck card; 2 per player. When played, its printed Tip is generated once before any Equip effect resolves.",,data/v7_9_card_database.csv
HH-055,pre-v7.9,active,Chapstick,Starter,Fashion,Face,Neutral,,0,1,0,1,0,1,Equip: You may archive 1 card from hand to draw 1 card.,"Starter deck card; 2 per player. When played, its printed Tip is generated once before any Equip effect resolves.",,data/v7_9_card_database.csv
HH-056,pre-v7.9,active,Chapstick,Starter,Fashion,Face,Neutral,,0,1,0,1,0,1,Equip: You may archive 1 card from hand to draw 1 card.,"Starter deck card; 2 per player. When played, its printed Tip is generated once before any Equip effect resolves.",,data/v7_9_card_database.csv
HH-057,pre-v7.9,active,Chapstick,Starter,Fashion,Face,Neutral,,0,1,0,1,0,1,Equip: You may archive 1 card from hand to draw 1 card.,"Starter deck card; 2 per player. When played, its printed Tip is generated once before any Equip effect resolves.",,data/v7_9_card_database.csv
HH-058,pre-v7.9,active,Chapstick,Starter,Fashion,Face,Neutral,,0,1,0,1,0,1,Equip: You may archive 1 card from hand to draw 1 card.,"Starter deck card; 2 per player. When played, its printed Tip is generated once before any Equip effect resolves.",,data/v7_9_card_database.csv
HH-059,pre-v7.9,active,Chapstick,Starter,Fashion,Face,Neutral,,0,1,0,1,0,1,Equip: You may archive 1 card from hand to draw 1 card.,"Starter deck card; 2 per player. When played, its printed Tip is generated once before any Equip effect resolves.",,data/v7_9_card_database.csv
HH-060,pre-v7.9,active,Chapstick,Starter,Fashion,Face,Neutral,,0,1,0,1,0,1,Equip: You may archive 1 card from hand to draw 1 card.,"Starter deck card; 2 per player. When played, its printed Tip is generated once before any Equip effect resolves.",,data/v7_9_card_database.csv
HH-061,v7.9,active,Bubblegum Pigtails,Wardrobe,Fashion,Wig,Pink,Sugar Rush,3,2,1,2,0,1,Equip: Draw 1 card.,v7.9 unique Sugar Rush Wig design.,,data/v7_9_card_database.csv
HH-062,v7.9,active,Cotton Candy Curls,Wardrobe,Fashion,Wig,Pink,Sugar Rush,4,1,1,1,0,1,Equip: Look at the top 2 cards of your Deck; put 1 in hand and 1 on the bottom.,v7.9 unique Sugar Rush Wig design.,,data/v7_9_card_database.csv
HH-063,v7.9,active,Candyfloss Twin Buns,Wardrobe,Fashion,Wig,Pink,Sugar Rush,2,2,1,3,0,1,"Reveal: If you equipped another Pink Fashion this turn, gain 1 Appeal.",v7.9 unique Sugar Rush Wig design.,,data/v7_9_card_database.csv
HH-064,v7.9,active,Strawberry Swirl Bob,Wardrobe,Fashion,Wig,Pink,Sugar Rush,3,2,2,2,0,1,"Matching: Draw 1 card, then archive 1 card from hand.",v7.9 unique Sugar Rush Wig design.,,data/v7_9_card_database.csv
HH-065,v7.9,active,Sweet Lolita JSK,Wardrobe,Fashion,Body,Pink,Sugar Rush,5,1,2,3,0,1,Matching: Draw 1 card.,v7.9 unique Sugar Rush Body design.,,data/v7_9_card_database.csv
HH-066,v7.9,active,Macaron Petticoat,Wardrobe,Fashion,Body,Pink,Sugar Rush,6,0,2,2,0,1,"Reveal: If your Coordinate is Complete, gain 2 Appeal.",v7.9 unique Sugar Rush Body design.,,data/v7_9_card_database.csv
HH-067,v7.9,active,Sprinkle Party Dress,Wardrobe,Fashion,Body,Pink,Sugar Rush,4,1,2,4,0,1,Shopping: Your first Pink Fashion purchase this turn costs 1 fewer Tip.,v7.9 unique Sugar Rush Body design.,,data/v7_9_card_database.csv
HH-068,v7.9,active,Candy Wrapper Corset,Wardrobe,Fashion,Body,Pink,Sugar Rush,5,1,3,3,0,1,"Equip: If your Face Master is Pink, gain 1 Tip.",v7.9 unique Sugar Rush Body design.,,data/v7_9_card_database.csv
HH-069,v7.9,active,Tea Party Platforms,Wardrobe,Fashion,Shoes,Pink,Sugar Rush,4,1,1,2,0,1,"Fusion: If your Wig Master is Pink, gain 2 Tips.",v7.9 unique Sugar Rush Shoes design.,,data/v7_9_card_database.csv
HH-070,v7.9,active,Jellybean Mary Janes,Wardrobe,Fashion,Shoes,Pink,Sugar Rush,5,1,1,1,0,1,"Reveal: If you equipped a Fashion card this turn, gain 1 Tip.",v7.9 unique Sugar Rush Shoes design.,,data/v7_9_card_database.csv
HH-071,v7.9,active,Cupcake Stompers,Wardrobe,Fashion,Shoes,Pink,Sugar Rush,3,2,1,3,0,1,"Shopping: If you have a Matching Look, your first purchase this turn costs 1 fewer Tip.",v7.9 unique Sugar Rush Shoes design.,,data/v7_9_card_database.csv
HH-072,v7.9,active,Lollipop Heels,Wardrobe,Fashion,Shoes,Pink,Sugar Rush,4,1,2,2,0,1,"Fusion: If your Coordinate contains exactly two non-Neutral Tenets, gain 2 Appeal.",v7.9 unique Sugar Rush Shoes design.,,data/v7_9_card_database.csv
HH-073,v7.9,active,Anime Eyes,Wardrobe,Fashion,Face,Pink,Sugar Rush,3,2,1,1,0,1,Equip: Look at the top 3 cards of your Deck; put 1 in hand and archive the other 2.,v7.9 unique Sugar Rush Face design.,,data/v7_9_card_database.csv
HH-074,v7.9,active,Heart Stamp Blush,Wardrobe,Fashion,Face,Pink,Sugar Rush,4,1,1,0,0,1,"Equip: Draw 1 card, then archive 1 card from hand.",v7.9 unique Sugar Rush Face design.,,data/v7_9_card_database.csv
HH-075,v7.9,active,Cherry Gloss,Wardrobe,Fashion,Face,Pink,Sugar Rush,2,2,1,2,0,1,"Reveal: If you played a card with printed Tips 0 this turn, gain 1 Tip.",v7.9 unique Sugar Rush Face design.,,data/v7_9_card_database.csv
HH-076,v7.9,active,Sugar Star Liner,Wardrobe,Fashion,Face,Pink,Sugar Rush,3,2,2,1,0,1,"Matching: If your Matching Look is Pink, gain 2 Appeal.",v7.9 unique Sugar Rush Face design.,,data/v7_9_card_database.csv
HH-077,v7.9,active,Lace Parasol,Wardrobe,Fashion,Accessory,Pink,Sugar Rush,4,1,2,2,0,1,Equip: Return an Action from your Archive to your hand.,v7.9 unique Sugar Rush Accessory design.,,data/v7_9_card_database.csv
HH-078,v7.9,active,Candy Charm Choker,Wardrobe,Fashion,Accessory,Pink,Sugar Rush,5,1,2,1,0,1,"Shopping: Once this turn after you buy a Pink Fashion, draw 1 card then archive 1 card from hand.",v7.9 unique Sugar Rush Accessory design.,,data/v7_9_card_database.csv
HH-079,v7.9,active,Dessert Tray Purse,Wardrobe,Fashion,Accessory,Pink,Sugar Rush,3,2,2,3,0,1,Equip: Put a card from your Archive on top of your Deck.,v7.9 unique Sugar Rush Accessory design.,,data/v7_9_card_database.csv
HH-080,v7.9,active,Ribbon Rosette Fan,Wardrobe,Fashion,Accessory,Pink,Sugar Rush,4,1,3,2,0,1,"Shopping: Once this turn, a Pink Fashion you buy may go on top of your Deck instead of your Archive.",v7.9 unique Sugar Rush Accessory design.,,data/v7_9_card_database.csv
HH-081,v7.9,active,Fiber Optic Dreads,Wardrobe,Fashion,Wig,Pink,Hyper-Glitch,5,1,2,3,0,1,"Equip: Draw 2 cards, then archive 1 card from hand.",v7.9 unique Hyper-Glitch Wig design.,,data/v7_9_card_database.csv
HH-082,v7.9,active,Static Wave Mohawk,Wardrobe,Fashion,Wig,Pink,Hyper-Glitch,6,0,3,4,0,1,Equip: Look at the top 3 cards of your Deck and put them back in any order.,v7.9 unique Hyper-Glitch Wig design.,,data/v7_9_card_database.csv
HH-083,v7.9,active,Holographic Bodysuit,Wardrobe,Fashion,Body,Pink,Hyper-Glitch,6,0,3,4,0,1,Shopping: Your first Wardrobe card with printed Tips 0 costs 1 fewer Tip this turn.,v7.9 unique Hyper-Glitch Body design.,,data/v7_9_card_database.csv
HH-084,v7.9,active,CRT Corset,Wardrobe,Fashion,Body,Pink,Hyper-Glitch,7,0,4,5,0,1,"Shopping: Once this turn after the Wardrobe Rack refills, you may send the rightmost card to the bottom of the Wardrobe Deck and refill it.",v7.9 unique Hyper-Glitch Body design.,,data/v7_9_card_database.csv
HH-085,v7.9,active,LED Hover Boots,Wardrobe,Fashion,Shoes,Pink,Hyper-Glitch,5,1,2,3,0,1,"Slay: If you Slay while showing a Fusion Look, gain 1 additional Gross SP.",v7.9 unique Hyper-Glitch Shoes design.,,data/v7_9_card_database.csv
HH-086,v7.9,active,Pixel Runner Heels,Wardrobe,Fashion,Shoes,Pink,Hyper-Glitch,6,0,3,4,0,1,"Fusion: If your Coordinate contains exactly two non-Neutral Tenets, gain 3 Appeal.",v7.9 unique Hyper-Glitch Shoes design.,,data/v7_9_card_database.csv
HH-087,v7.9,active,Chrome Face Plate,Wardrobe,Fashion,Face,Pink,Hyper-Glitch,4,1,1,2,0,1,Equip: Look at the top card of the Wardrobe Deck; leave it there or put it on the bottom.,v7.9 unique Hyper-Glitch Face design.,,data/v7_9_card_database.csv
HH-088,v7.9,active,Scanline Visor,Wardrobe,Fashion,Face,Pink,Hyper-Glitch,5,1,2,3,0,1,Reveal: Choose one of your other Masters; this card also counts as that Master's Tenet for Fusion this turn.,v7.9 unique Hyper-Glitch Face design.,,data/v7_9_card_database.csv
HH-089,v7.9,active,Pixel Shades,Wardrobe,Fashion,Accessory,Pink,Hyper-Glitch,3,2,2,2,0,1,"Fusion: If you show a Fusion Look, gain 3 Appeal.",v7.9 unique Hyper-Glitch Accessory design.,,data/v7_9_card_database.csv
HH-090,v7.9,active,Glitch Gauntlet,Wardrobe,Fashion,Accessory,Pink,Hyper-Glitch,4,1,3,3,0,1,"Reveal: Look at the top card of your Deck; if its printed Tips are 0, draw it, otherwise leave it on top.",v7.9 unique Hyper-Glitch Accessory design.,,data/v7_9_card_database.csv
HH-091,v7.9,active,Medusa Locks,Wardrobe,Fashion,Wig,Blue,Necropolis,4,1,2,3,0,1,Equip: Return an Action from your Archive to the top of your Deck.,v7.9 unique Necropolis Wig design.,,data/v7_9_card_database.csv
HH-092,v7.9,active,Mourning Veil Bob,Wardrobe,Fashion,Wig,Blue,Necropolis,5,1,3,2,0,1,"Reveal: If your Archive contains at least 5 cards, gain 2 Appeal.",v7.9 unique Necropolis Wig design.,,data/v7_9_card_database.csv
HH-093,v7.9,active,Graveyard Braids,Wardrobe,Fashion,Wig,Blue,Necropolis,3,2,2,4,0,1,Before Dragdagulan†: Look at the top 3 cards of your Deck and put them back in any order.,v7.9 unique Necropolis Wig design.,†,data/v7_9_card_database.csv
HH-094,v7.9,active,Funeral Shroud,Wardrobe,Fashion,Body,Blue,Necropolis,5,1,2,3,0,1,Equip: You may trash 1 non-Starter card from your hand.,v7.9 unique Necropolis Body design.,,data/v7_9_card_database.csv
HH-095,v7.9,active,Crypt Velvet Gown,Wardrobe,Fashion,Body,Blue,Necropolis,6,0,3,2,0,1,Equip: Return a Fashion card from your Archive to the top of your Deck.,v7.9 unique Necropolis Body design.,,data/v7_9_card_database.csv
HH-096,v7.9,active,Bone Lace Bodysuit,Wardrobe,Fashion,Body,Blue,Necropolis,4,1,2,4,0,1,"Reveal: If you trashed one of your own cards this turn, gain 2 Appeal.",v7.9 unique Necropolis Body design.,,data/v7_9_card_database.csv
HH-097,v7.9,active,Combat Boots,Wardrobe,Fashion,Shoes,Blue,Necropolis,3,2,1,4,0,1,Matching: Gain +2 LS in Dragdagulan†.,v7.9 unique Necropolis Shoes design.,†,data/v7_9_card_database.csv
HH-098,v7.9,active,Coffin Creepers,Wardrobe,Fashion,Shoes,Blue,Necropolis,4,1,2,3,0,1,"Before Dragdagulan†: Reveal the top card of your Deck; if it has printed LS 3+, gain +1 LS for that battle.",v7.9 unique Necropolis Shoes design.,†,data/v7_9_card_database.csv
HH-099,v7.9,active,Mausoleum Platforms,Wardrobe,Fashion,Shoes,Blue,Necropolis,2,2,1,5,0,1,"After Dragdagulan†: If you lost, put one of your battle cards from your Archive on top of your Deck.",v7.9 unique Necropolis Shoes design.,†,data/v7_9_card_database.csv
HH-100,v7.9,active,Pale Foundation,Wardrobe,Fashion,Face,Blue,Necropolis,3,2,1,3,0,1,Matching: Gain +1 LS. Fusion: Gain +1 LS.,v7.9 unique Necropolis Face design.,,data/v7_9_card_database.csv
HH-101,v7.9,active,Corpse Paint,Wardrobe,Fashion,Face,Blue,Necropolis,4,1,2,2,0,1,"Reveal: If your Archive contains at least 6 cards, gain 2 Appeal.",v7.9 unique Necropolis Face design.,,data/v7_9_card_database.csv
HH-102,v7.9,active,Hollow Eye,Wardrobe,Fashion,Face,Blue,Necropolis,2,2,1,4,0,1,Equip: Look at the top 2 cards of your Deck; archive 1 and leave the other on top.,v7.9 unique Necropolis Face design.,,data/v7_9_card_database.csv
HH-103,v7.9,active,Skull Choker,Wardrobe,Fashion,Accessory,Blue,Necropolis,4,1,2,3,0,1,"Equip: Choose an opponent; they lose 1 Tip, minimum 0.",v7.9 unique Necropolis Accessory design.,,data/v7_9_card_database.csv
HH-104,v7.9,active,Reliquary Brooch,Wardrobe,Fashion,Accessory,Blue,Necropolis,5,1,3,2,0,1,Equip: Put any one card from your Archive on top of your Deck.,v7.9 unique Necropolis Accessory design.,,data/v7_9_card_database.csv
HH-105,v7.9,active,Grave Bell Purse,Wardrobe,Fashion,Accessory,Blue,Necropolis,3,2,2,4,0,1,"After you trash one of your own cards, draw 1 card then archive 1 card from hand; once per turn.",v7.9 unique Necropolis Accessory design.,,data/v7_9_card_database.csv
HH-106,v7.9,active,Final Girl Bob,Wardrobe,Fashion,Wig,Blue,Slasher,5,1,2,4,0,1,"Dragdagulan†: If you are the challenger, gain +2 LS.",v7.9 unique Slasher Wig design.,†,data/v7_9_card_database.csv
HH-107,v7.9,active,Blood-Splatter Bangs,Wardrobe,Fashion,Wig,Blue,Slasher,6,0,3,5,0,1,"After you win Dragdagulan†, the loser archives 1 random card from their hand.",v7.9 unique Slasher Wig design.,†,data/v7_9_card_database.csv
HH-108,v7.9,active,Butcher's Apron,Wardrobe,Fashion,Body,Blue,Slasher,6,0,3,5,0,1,Equip: Choose an opponent; they archive an Action from hand if able.,v7.9 unique Slasher Body design.,,data/v7_9_card_database.csv
HH-109,v7.9,active,Prom Night Ruin,Wardrobe,Fashion,Body,Blue,Slasher,7,0,4,6,0,1,"Dragdagulan†: If your Battle Score is 6 or less before modifiers, gain +2 LS.",v7.9 unique Slasher Body design.,†,data/v7_9_card_database.csv
HH-110,v7.9,active,Stiletto Knives,Wardrobe,Fashion,Shoes,Blue,Slasher,5,1,2,4,0,1,Matching: Gain +3 LS in Dragdagulan†.,v7.9 unique Slasher Shoes design.,†,data/v7_9_card_database.csv
HH-111,v7.9,active,Bloodtrail Boots,Wardrobe,Fashion,Shoes,Blue,Slasher,6,0,3,5,0,1,"Dragdagulan†: If you initiated this battle, gain +1 LS for each Blue Master you have, maximum +3.",v7.9 unique Slasher Shoes design.,†,data/v7_9_card_database.csv
HH-112,v7.9,active,Stitched Mouth,Wardrobe,Fashion,Face,Blue,Slasher,4,1,2,3,0,1,Equip: Choose an opponent; they may play at most 1 Action on their next turn.,v7.9 unique Slasher Face design.,,data/v7_9_card_database.csv
HH-113,v7.9,active,Scream Queen Glam,Wardrobe,Fashion,Face,Blue,Slasher,5,1,3,4,0,1,"Before Dragdagulan†: Look at 1 random card from the defender's hand; if its printed LS is 0, gain +2 LS.",v7.9 unique Slasher Face design.,†,data/v7_9_card_database.csv
HH-114,v7.9,active,Rusty Chainsaw,Wardrobe,Fashion,Accessory,Blue,Slasher,5,1,3,4,0,1,Equip: Trash 1 card from the Wardrobe Rack and refill that space.,v7.9 unique Slasher Accessory design.,,data/v7_9_card_database.csv
HH-115,v7.9,active,Evidence Bag Clutch,Wardrobe,Fashion,Accessory,Blue,Slasher,6,0,4,5,0,1,"After you win Dragdagulan† by 3 or more, give the loser a Wardrobe Malfunction if one is available.",v7.9 unique Slasher Accessory design.,†,data/v7_9_card_database.csv
HH-116,v7.9,active,Galaxy Brain,Wardrobe,Fashion,Wig,Blue,Void,7,0,4,5,0,1,"Equip: Look at an opponent's hand and choose 1 card; set it aside until that opponent's Cleanup, then return it to their hand.",v7.9 unique Void Wig design.,,data/v7_9_card_database.csv
HH-117,v7.9,active,Singularity Halo,Wardrobe,Fashion,Wig,Blue,Void,8,0,5,6,0,1,Reveal: You may archive 1 card from hand to gain 2 Appeal.,v7.9 unique Void Wig design.,,data/v7_9_card_database.csv
HH-118,v7.9,active,Event Horizon Dress,Wardrobe,Fashion,Body,Blue,Void,8,0,5,5,0,1,Matching: Gain Untouchable until Cleanup.,v7.9 unique Void Body design.,,data/v7_9_card_database.csv
HH-119,v7.9,active,Nebula Null Suit,Wardrobe,Fashion,Body,Blue,Void,9,0,6,6,0,1,"Deep Storage: While this card is in Deep Storage, your Complete Coordinate gains 1 Appeal during Reveal.",v7.9 unique Void Body design.,,data/v7_9_card_database.csv
HH-120,v7.9,active,Anti-Gravity Heels,Wardrobe,Fashion,Shoes,Blue,Void,6,0,3,4,0,1,Fusion: This card may count as any one non-Neutral Tenet for Fusion this turn. Deep Storage.,v7.9 unique Void Shoes design.,,data/v7_9_card_database.csv
HH-121,v7.9,active,Zero-G Platforms,Wardrobe,Fashion,Shoes,Blue,Void,7,0,4,5,0,1,Reveal: You may move this Master to Deep Storage to gain 3 Appeal this turn.,v7.9 unique Void Shoes design.,,data/v7_9_card_database.csv
HH-122,v7.9,active,Void Gaze,Wardrobe,Fashion,Face,Blue,Void,6,0,3,4,0,1,"Fusion: If you show a Fusion Look, steal up to 2 Tips from one opponent.",v7.9 unique Void Face design.,,data/v7_9_card_database.csv
HH-123,v7.9,active,Eclipse Mask,Wardrobe,Fashion,Face,Blue,Void,7,0,4,5,0,1,Reveal: Trash the top card of your Deck; gain Appeal equal to its printed Tips +1.,v7.9 unique Void Face design.,,data/v7_9_card_database.csv
HH-124,v7.9,active,Tentacle Prosthetic,Wardrobe,Fashion,Accessory,Blue,Void,5,1,3,4,0,1,"Equip: Choose an opponent; at their next Cleanup they draw 1 fewer card, minimum 1.",v7.9 unique Void Accessory design.,,data/v7_9_card_database.csv
