Section,Tenet,Brand,Quantity,Name,Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8
Starter,Neutral,Neutral,35,Basic Beat,Action,0,+1 Tip ($),0,"""...working 9 to 5...""","""It's clean. It's simple. It's... adequate."""
Starter,Neutral,Neutral,15,Messy Lip Sync,Action,0,+1 Appeal (★),0,"""...forgot the words...""","""Girl, do you even know the song?"""
Starter,Neutral,Neutral,10,Chapstick,Makeup,0,+1 Tip ($). You may discard 1 card to draw 1 card.,0,"""...kiss me...""","""The secret to a soft pout and a desperate budget."""
Wardrobe,Purple,VELVET TRAP,4,Feather Boa,Acc,3,+2 ★,Matching: +1 LS Point per Purple card in play.,1,"""...tickle my fancy...""","""Shedding everywhere."""
Wardrobe,Purple,GILDED CAGE,2,Pageant Updo,Wig,6,+3 ★,"Matching: +2 LS Points. Immune to ""Discard"".",4,"""...heavy lies the crown...""","""Closer to God."""
Wardrobe,Purple,GILDED CAGE,1,Sequined Gown,Body,8,+6 ★,Matching: Worth 5 SP at end of game.,5,"""...shining like a diamond...""","""Stones. Everywhere."""
Wardrobe,Purple,GILDED CAGE,2,Glass Slippers,Shoes,6,+3 ★,"Fusion: If Purple Body, gain +4 Appeal.",3,"""...midnight stroke...""","""Fragile but fierce."""
Wardrobe,Purple,GILDED CAGE,3,Rhinestone Tears,Face,5,+3 ★,Play: Gain 1 SP Token immediately.,3,"""...cry pretty...""","""Sadness, but make it fashion."""
Wardrobe,Purple,GILDED CAGE,2,Diamond Scepter,Acc,7,+5 ★,"Matching: If you Slay a Stage, gain +2 extra SP.",5,"""...rule the world...""","""Bow down."""
Wardrobe,Yellow,TRASH CAN,3,Spaghetti Wig,Wig,3,+1 ★,Play: You may trash 1 card from your hand.,1,"""...eat it up...""","""Al dente elegance."""
Wardrobe,Yellow,TRASH CAN,3,Bin Bag Gown,Body,4,+2 ★,Play: Trash 1 card from Backstage Archive.,2,"""...garbage person...""","""Derelicte."""
Wardrobe,Yellow,TRASH CAN,3,Duct Tape Boots,Shoes,3,+1 ★,Fusion: +1 Appeal for every Trashed card this turn.,1,"""...sticky situation...""","""Holds it all together."""
Wardrobe,Yellow,TRASH CAN,3,Sharpie Brows,Face,2,+1 $,Fusion: Counts as ANY color for Sets.,0,"""...drawing a blank...""","""Permanent marker."""
Wardrobe,Yellow,TRASH CAN,3,Rat Tail Purse,Acc,3,+2 ★,Play: Retrieve a Trashed card (return to hand).,1,"""...rat a tat tat...""","""It's taxidermy."""
Wardrobe,Yellow,BIG TOP,2,Rainbow Afro,Wig,4,+2 ★,Fusion: Counts as ANY color for Sets.,2,"""...colors of the wind...""","""Honk honk."""
Wardrobe,Yellow,BIG TOP,2,Polka Dot Jumpsuit,Body,5,+3 ★,Play: Draw 2 cards. Opponent draws 1 card.,3,"""...circus life...""","""Expand the tent."""
Wardrobe,Yellow,BIG TOP,2,Chicken Feet,Shoes,4,+2 ★,Fusion: Gain +1 Tip ($) for every card Trashed this turn.,2,"""...cluck cluck...""","""Walk a mile in my talons."""
Wardrobe,Yellow,BIG TOP,2,Clown White,Face,3,+2 ★,Matching: +1 LS Point. Fusion: Counts as wild for Sets.,2,"""...tears of a clown...""","""A classic paint."""
Wardrobe,Yellow,BIG TOP,2,Rubber Chicken,Acc,3,+2 ★,Play: Opponent puts a card from hand on top of deck.,2,"""...joke's on you...""","""A classic prop."""
Wardrobe,Yellow,SWAMP WITCH,2,Antler Crown,Wig,6,+3 ★,Play: Look at top 3 cards of Stage Deck. Rearrange them.,4,"""...wild things...""","""The forest speaks."""
Wardrobe,Yellow,SWAMP WITCH,1,Living Moss Robe,Body,7,+5 ★,Fusion: Counts as ANY color. Play: Trash 1 from Archive.,4,"""...return to earth...""","""It's literally growing."""
Wardrobe,Yellow,SWAMP WITCH,2,Cloven Hooves,Shoes,6,+3 ★,Play: You may buy cards from the Trash pile this turn.,3,"""...devil in disguise...""","""Leave no trace."""
Wardrobe,Yellow,SWAMP WITCH,3,Mud Mask,Face,5,+2 ★,Matching: +3 LS Points.,4,"""...dirty work...""","""Natural exfoliant."""
Wardrobe,Yellow,SWAMP WITCH,2,Bog Root Corset,Acc,5,+3 ★,Play: Retrieve any Camp card from Backstage Archive.,3,"""...deep in the mud...""","""Structural support."""
Wardrobe,Yellow,SWAMP WITCH,4,"Ten, Ten, Tens!",Vogue (Hands),3,+2 ★,Play: Starts a Vogue Chain sequence.,2,"""...strike a pose...""","""Serve it to the judges."""
Wardrobe,Yellow,SWAMP WITCH,4,Catwalk Strut,Vogue (Walk),4,+2 ★,"Vogue: If played after Hands, Draw 1 Card.",2,"""...walk for me...""","""Legs for days."""
Wardrobe,Yellow,SWAMP WITCH,3,Spin & Dip,Vogue (Finish),6,+4 ★,"Vogue: If played after Walk, +5 Appeal. (Rare)",3,"""...crash and burn...""","""The death drop heard 'round the world."""
Wardrobe,Yellow,SWAMP WITCH,3,Shade Fan,Acc,3,+1 ★,Play: Discard to block an Attack effect.,0,"""...no tea no shade...""","""Thwack!"""
Penalty,Neutral,Neutral,5,Wardrobe Malfunction,Worth -1 SP at game end. Provides no benefits.,"""...zipper broke...""","""Not even safety pins can fix this."""
Penalty,Neutral,Neutral,10,The Chop,Worth -1 SP at game end. Given for losing Dragdagulan.,"""...loser baby...""","""Sashay away."""
Penalty,Neutral,Neutral,5,Extermination,Worth -2 SP at game end. Severe penalty.,"""...you're done...""","""Pack your knives and go."""
Stage,Neutral,Neutral,1,The Monster Ball,Must have Horror (Blue) item equipped.,10 ★,5 SP,-,"""Scare us stiff."""
Stage,Neutral,Neutral,1,Anime Matsuri,Must have Pop (Pink) item equipped.,12 ★,6 SP,-,"""Kawaii desu ne!"""
Stage,Neutral,Neutral,1,The Filth Floor,Must Trash 1 card from hand.,10 ★,5 SP,-,"""Get dirty."""
Stage,Neutral,Neutral,1,Grand Finale,Must have a Matching Look (Full Set).,20 ★,10 SP,-,"""Category is: Eleganza Extravaganza."""
Stage,Neutral,Neutral,1,Duality Ball,Must have a Fusion Look (Mixed Set).,15 ★,8 SP,-,"""Show us two sides of the same coin."""
Stage,Neutral,Neutral,1,Face Face Face,Must have a Face card equipped.,8 ★,4 SP,-,"""No butterfaces allowed."""
Stage,Neutral,Neutral,1,Witching Hour,Must have a Swamp Witch or Void item.,13 ★,7 SP,-,"""Cast a spell on the judges."""
Stage,Neutral,Neutral,1,Dungeon Drag,Must have Slasher or Velvet Trap item.,14 ★,7 SP,-,"""Leather and lace."""
Stage,Neutral,Neutral,1,Circus Berserkus,Must have Big Top or Sugar Rush item.,11 ★,6 SP,-,"""Send in the clowns."""
Stage,Neutral,Neutral,1,Neon Nights,Must have Hyper-Glitch item.,12 ★,6 SP,-,"""Glow in the dark."""
Stage,Neutral,Neutral,1,Royal Rumble,Must have Gilded Cage item.,16 ★,8 SP,-,"""Heavy is the head."""
Stage,Neutral,Neutral,1,Apocalypse Now,Must have Trash Can or Necropolis item.,14 ★,7 SP,-,"""The end is nigh."""
