Group,Qty,Name,Tenet,Brand,Type,Cost,Tips,Appeal,LS,Effect,Judge,Featured Brand,Brand Ovation,Spotlight Requirement,Judge's Favor
Wardrobe,3,Bin Bag Gown,Yellow,Trash Can,Body,4,0,2,2,"Play: Trash 1 card from your Backstage Archive, if able.",,,,,
Wardrobe,3,Duct Tape Boots,Yellow,Trash Can,Shoes,3,0,1,1,Fusion: Gain 1 Appeal for each card you trashed this turn.,,,,,
Wardrobe,3,Sharpie Brows,Yellow,Trash Can,Face,2,1,0,0,Wild.,,,,,
Wardrobe,3,Rat Tail Purse,Yellow,Trash Can,Accessory,3,0,2,1,Play: Return 1 eligible card from your Personal Trash to hand.,,,,,
Wardrobe,2,Rainbow Afro,Yellow,Big Top,Wig,4,0,2,2,Wild.,,,,,
Wardrobe,2,Polka Dot Jumpsuit,Yellow,Big Top,Body,5,0,3,3,Play: Draw 2 cards. Choose an opponent; they draw 1 card.,,,,,
Wardrobe,2,Chicken Feet,Yellow,Big Top,Shoes,4,0,2,2,Fusion: Gain 1 Tip for each card you trashed this turn.,,,,,
Wardrobe,2,Clown White,Yellow,Big Top,Face,3,0,2,2,Wild. Matching: Gain +1 LS in Dragdagulan this turn.,,,,,
Wardrobe,2,Rubber Chicken,Yellow,Big Top,Accessory,3,0,2,2,"Play: Choose an opponent. They put 1 card from hand on top of their Deck, if able.",,,,,
Wardrobe,2,Antler Crown,Yellow,Swamp Witch,Wig,6,0,3,4,Play: Look at the top 3 cards of the Stage Deck and return them in any order.,,,,,
Wardrobe,1,Living Moss Robe,Yellow,Swamp Witch,Body,7,0,5,4,"Wild. Play: Trash 1 card from your Backstage Archive, if able.",,,,,
Wardrobe,2,Cloven Hooves,Yellow,Swamp Witch,Shoes,6,0,3,3,"Play: This turn, you may buy cards from Boutique Trash during Shopping at printed cost.",,,,,
Wardrobe,3,Mud Mask,Yellow,Swamp Witch,Face,5,0,2,4,Matching: Gain +3 LS in Dragdagulan this turn.,,,,,
Wardrobe,2,Bog Root Corset,Yellow,Swamp Witch,Accessory,5,0,3,3,Play: Return 1 Yellow card from your Backstage Archive to hand.,,,,,
Wardrobe,4,"Ten, Ten, Tens!",Neutral,Vogue,Action - Vogue Hands,3,0,2,2,Play: Gain 2 Appeal. Start a Vogue Chain.,,,,,
Wardrobe,4,Catwalk Strut,Neutral,Vogue,Action - Vogue Walk,4,0,2,2,"Play: Gain 2 Appeal. If played immediately after Hands, draw 1 card.",,,,,
Wardrobe,3,Spin & Dip,Neutral,Vogue,Action - Vogue Finish,6,0,4,3,"Play: Gain 4 Appeal. If played immediately after a qualifying Walk, gain 5 additional Appeal.",,,,,
Wardrobe,3,Shade Fan,Neutral,Vogue,Accessory,3,0,1,0,"Reaction: While equipped, archive Shade Fan to cancel 1 hostile Play effect that targets you.",,,,,
Thrift,3,Thrift Store Throwback - Face,Neutral,Throwback,Face,2,0,2,0,Neutral Fashion. No ability.,,,,,
Thrift,3,Thrift Store Throwback - Wig,Neutral,Throwback,Wig,3,0,2,0,Neutral Fashion. No ability.,,,,,
Thrift,4,Thrift Store Throwback - Body,Neutral,Throwback,Body,4,0,2,0,Neutral Fashion. No ability.,,,,,
Thrift,3,Thrift Store Throwback - Shoes,Neutral,Throwback,Shoes,3,0,2,0,Neutral Fashion. No ability.,,,,,
Thrift,3,Thrift Store Throwback - Accessory,Neutral,Throwback,Accessory,3,0,2,0,Neutral Fashion. No ability.,,,,,
Penalty,5,Wardrobe Malfunction,Penalty,Wardrobe Malfunction,Penalty,,0,0,0,Worth -1 SP at Final Judging. Provides no benefits.,,,,,
Penalty,10,The Chop,Penalty,Wardrobe Malfunction,Penalty,,0,0,0,Worth -1 SP at Final Judging. Given by Dragdagulan and effects.,,,,,
Penalty,5,Extermination,Penalty,Wardrobe Malfunction,Penalty,,0,0,0,Worth -2 SP at Final Judging. Severe penalty.,,,,,
Stage,1,The Monster Ball,Stage,Floor Show,Stage,,0,10,0,Prerequisite: Control at least 1 Blue Master or Accessory.,Dr. Abomination,Necropolis,+2 Gross SP,Slay with a Complete Coordinate containing two different Blue Brands,"Beautifully Monstrous - Once per game after drawing for Dragdagulan, gain +4 LS for that battle."
Stage,1,Anime Matsuri,Stage,Floor Show,Stage,,0,12,0,Prerequisite: Control at least 1 Pink Master or Accessory.,Hoshi Supreme,Sugar Rush,+2 Gross SP,Slay with a Matching Pink Look,"Encore Edit - Once per game after drawing your hand, draw 2 cards and then archive 2 cards from hand."
Stage,1,The Filth Floor,Stage,Floor Show,Stage,,0,10,0,Slay cost: Trash 1 eligible card from hand.,Mother Grime,Trash Can,+2 Gross SP,Trash at least two eligible cards during the Slay turn; the Stage cost counts,"Filthy Rich - Once per game during Transformation, trash 1 eligible card from hand or Archive and then draw 1 card."
Stage,1,Grand Finale,Stage,Floor Show,Stage,,0,20,0,Prerequisite: Your Reveal is a Matching Look.,Empress Finale,Gilded Cage,+2 Gross SP,Slay with a Perfect Illusion,Final Ovation - This Stage trophy is worth +2 SP during Final Judging.
Stage,1,Duality Ball,Stage,Floor Show,Stage,,0,15,0,Prerequisite: Your Reveal is a Fusion Look.,Gemini Glitz,Velvet Trap,+2 Gross SP,Slay with a Fusion Look that uses at least one Deep Storage card,"Two for One - Once per game during Shopping, gain 5 Tips that may be spent on one purchase only."
Stage,1,Face Face Face,Stage,Floor Show,Stage,,0,8,0,Prerequisite: You have a Face Master.,Madame Visage,Big Top,+2 Gross SP,Slay while your Face Master has at least 2 printed Appeal,"Painted for the Gods - Once per game after equipping a Face Master, draw 2 cards and then archive 1 card from hand."
Stage,1,Witching Hour,Stage,Floor Show,Stage,,0,13,0,Prerequisite: Control a Swamp Witch or Void Master/Accessory.,Belladonna Hex,Swamp Witch,+2 Gross SP,Slay while controlling both a Swamp Witch card and a Void card,"Back from the Beyond - Once per game during Transformation, play or equip one eligible non-Penalty card from your Archive as though it were in hand."
Stage,1,Dungeon Drag,Stage,Floor Show,Stage,,0,14,0,Prerequisite: Control a Slasher or Velvet Trap Master/Accessory.,Chain Reaction,Slasher,+2 Gross SP,Slay while controlling both a Slasher card and a Velvet Trap card,"Break the Chains - Once per game when you lose Dragdagulan, prevent the Penalty you would take."
Stage,1,Circus Berserkus,Stage,Floor Show,Stage,,0,11,0,Prerequisite: Control a Big Top or Sugar Rush Master/Accessory.,Ringmistress Riot,Big Top,+2 Gross SP,Slay while controlling both a Big Top card and a Sugar Rush card,"Center Ring - Once per game during The Reveal, gain 3 Appeal after multipliers are applied."
Stage,1,Neon Nights,Stage,Floor Show,Stage,,0,12,0,Prerequisite: Control a Hyper-Glitch Master/Accessory.,DJ Electra,Hyper-Glitch,+2 Gross SP,Slay while your Shoes Master belongs to Hyper-Glitch,"VIP List - Once per game during Shopping, reduce one purchase's Cost by 3, minimum 0."
Stage,1,Royal Rumble,Stage,Floor Show,Stage,,0,16,0,Prerequisite: Control a Gilded Cage Master/Accessory.,The Grand Regent,Gilded Cage,+2 Gross SP,Slay while controlling a Gilded Cage Accessory,"Royal Decree - Once per game when you gain Gross SP, gain 2 additional Gross SP."
Stage,1,Apocalypse Now,Stage,Floor Show,Stage,,0,14,0,Prerequisite: Control a Trash Can or Necropolis Master/Accessory.,Last Call,Void,+2 Gross SP,Slay while controlling both a Trash Can card and a Necropolis card,"Last One Standing - Once per game during Transformation, trash one Penalty from your hand or Archive."
Queen,1,Lady Lux,Yellow,Trash Can,Queen,,0,0,0,"Treasure from Trash: Once per Round, immediately after you trash your third card that Round, gain 2 Gross SP and draw 1 card.",,,,,
Queen,1,Kawaii-Bot,Pink,Sugar Rush,Queen,,0,0,0,"Idol Perfect: Once per Round when you reveal a Matching Look, gain 1 Gross SP and draw 1 card.",,,,,
Queen,1,Mother Mortis,Blue,Necropolis,Queen,,0,0,0,"From the Grave: Once during your Transformation, play or equip 1 eligible non-Penalty card from your Backstage Archive as though it were in hand.",,,,,
Queen,1,Opulencia,Purple,Gilded Cage,Queen,,0,0,0,"More Is More: Whenever one effect gives you 1 or more Tips, gain 1 additional Tip. This bonus cannot trigger itself.",,,,,
Queen,1,Velvet Venom,Blue,Necropolis,Queen,,0,0,0,"Toxic Entrance: When you equip a Necropolis Body as Master, choose an opponent. They archive 1 card from hand, if able.",,,,,
Queen,1,Maldita Manila,None,Multi-Brand,Queen,,0,0,0,"Duality: Once per turn when you reveal a Complete Coordinate with at least 2 non-Neutral Tenets, gain 2 Tips.",,,,,
Queen,1,Hexa Laroux,Purple,Gilded Cage,Queen,,0,0,0,"Perfect Geometry: Whenever you gain Gross SP, gain that many Tips. Once per turn during The Reveal, if you have an Accessory equipped, gain 1 Gross SP.",,,,,
Queen,1,Bubblegum Banshee,Pink,Sugar Rush,Queen,,0,0,0,"Sugar High: When you equip Sugar Rush Shoes as Master, draw 1 card.",,,,,
Queen,1,Siren Diesel,Yellow,Trash Can,Queen,,0,0,0,"Built to Walk: When you equip Shoes as Master, gain 1 Tip.",,,,,
Queen,1,Opal Dynasty,Purple,Velvet Trap,Queen,,0,0,0,"Full Spectrum: Once per Round when you reveal a Complete Coordinate, gain 2 Gross SP.",,,,,
Queen,1,Rapture Royale,Purple,Velvet Trap,Queen,,0,0,0,"Sacrifice: Once during your Transformation, trash 1 eligible card from hand. If you do, gain 1 Gross SP.",,,,,
Queen,1,Gore-Jess,Blue,Slasher,Queen,,0,0,0,"Final Girl: Once per Round after you win Dragdagulan, gain 1 Gross SP. If you won by 3 or more Battle Score, gain 2 Gross SP instead.",,,,,
